4x4x4 Cube Combined First Round,Aarun Devgan,AZ 1
4x4x4 Cube Combined First Round,Albert You,0
4x4x4 Cube Combined First Round,Alex Davani,0
4x4x4 Cube Combined First Round,Alex Johnson,AZ 3
4x4x4 Cube Combined First Round,Alex Yang,NV 2
4x4x4 Cube Combined First Round,Andrew Nathenson,0
4x4x4 Cube Combined First Round,Ansuman Somasundaram,0
4x4x4 Cube Combined First Round,Ant Irizarry,CA 3
4x4x4 Cube Combined First Round,Bill McGaugh,CA 2
4x4x4 Cube Combined First Round,Brandon Lin,0
4x4x4 Cube Combined First Round,Bryden Rey Mendoza,CA 2
4x4x4 Cube Combined First Round,Calix Tang,NV 3
4x4x4 Cube Combined First Round,Calvin K. Smith,CA 1
4x4x4 Cube Combined First Round,Calvin Nielson,0
4x4x4 Cube Combined First Round,Cary Huang,0
4x4x4 Cube Combined First Round,Charlie Heffernan,NV 2
4x4x4 Cube Combined First Round,Chia-Wei Lu,CA 1
4x4x4 Cube Combined First Round,Christian Martin,0
4x4x4 Cube Combined First Round,Christopher Yen,0
4x4x4 Cube Combined First Round,Colton Johnston,NV 1
4x4x4 Cube Combined First Round,Danny SungIn Park,0
4x4x4 Cube Combined First Round,David Adams,AZ 3
4x4x4 Cube Combined First Round,Dawson Lam,AZ 3
4x4x4 Cube Combined First Round,Devin Corr-Robinett,CA 3
4x4x4 Cube Combined First Round,Diego Asencio,AZ 1
4x4x4 Cube Combined First Round,Edward Lin,AZ 3
4x4x4 Cube Combined First Round,Efrem Blitz,NV 3
4x4x4 Cube Combined First Round,Elijah Brown,CA 3
4x4x4 Cube Combined First Round,Elijah M. Perez,CA 1
4x4x4 Cube Combined First Round,Elliot Hawkins,NV 2
4x4x4 Cube Combined First Round,Eric Zhao,0
4x4x4 Cube Combined First Round,Ethan Lin,CA 3
4x4x4 Cube Combined First Round,Ethan Littlejohn,CA 3
4x4x4 Cube Combined First Round,Evan Mann,NV 2
4x4x4 Cube Combined First Round,Gael Ian Flores,NV 1
4x4x4 Cube Combined First Round,Graham Siggins,AZ 2
4x4x4 Cube Combined First Round,Henry McNamara,CA 2
4x4x4 Cube Combined First Round,Hudson Sakai,CA 2
4x4x4 Cube Combined First Round,Huxley Alexander,AZ 1
4x4x4 Cube Combined First Round,Isabella Corona,NV 3
4x4x4 Cube Combined First Round,Jack Leo Wilson,CA 1
4x4x4 Cube Combined First Round,Jacob Posner,0
4x4x4 Cube Combined First Round,Jaden Burkhardt,NV 3
4x4x4 Cube Combined First Round,Jandell Ryan Ko,NV 2
4x4x4 Cube Combined First Round,Jason Ostdiek,AZ 2
4x4x4 Cube Combined First Round,Jeff Park,0
4x4x4 Cube Combined First Round,Jeongyoon Yeo,NV 1
4x4x4 Cube Combined First Round,Jeremy Benik,0
4x4x4 Cube Combined First Round,Jeremy Fleischman,0
4x4x4 Cube Combined First Round,Joe Branch,AZ 1
4x4x4 Cube Combined First Round,Jonathan Cookmeyer,0
4x4x4 Cube Combined First Round,Josh Camia,AZ 1
4x4x4 Cube Combined First Round,Joshua Mizumoto,CA 1
4x4x4 Cube Combined First Round,Jungwoo Kim,AZ 2
