Aaron Soni,,
Event/Round,Stage/Group,
3x3x3 Cube Combined First Round,CO 1,
,,
Aarun Devgan,,
Event/Round,Stage/Group,
Pyraminx Combined First Round,CA 1,
3x3x3 Cube Combined First Round,AZ 1,
2x2x2 Cube Combined First Round,NV 1,
,,
Aidan Costello,,
Event/Round,Stage/Group,
Pyraminx Combined First Round,UT 3,
3x3x3 Cube Combined First Round,NV 5,
3x3x3 One-Handed Combined First Round,UT 2,
Square-1 Combined First Round,AZ 1,
2x2x2 Cube Combined First Round,NV 3,
,,
Akash Anand,,
Event/Round,Stage/Group,
Skewb Combined First Round,NV 2,
3x3x3 Cube Combined First Round,AZ 2,
2x2x2 Cube Combined First Round,UT 1,
,,
Albert You,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,0,
Pyraminx Combined First Round,CA 2,
3x3x3 Cube Combined First Round,CA 1,
5x5x5 Cube Combined First Round,0,
,,
Alex Davani,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,0,
Megaminx Combined First Round,0,
3x3x3 Multi-Blind,HI 1,
6x6x6 Cube Combined Final Round,0,
Skewb Combined First Round,AZ 1,
7x7x7 Cube Combined Final Round,0,
Pyraminx Combined First Round,CO 1,
3x3x3 Cube Combined First Round,UT 2,
4x4x4 Blindfolded,HI 3,
3x3x3 One-Handed Combined First Round,0,
Square-1 Combined First Round,0,
2x2x2 Cube Combined First Round,NV 4,
3x3x3 Blindfolded Round 1,0,
5x5x5 Cube Combined First Round,0,
,,
Alex Johnson,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,AZ 3,
3x3x3 Cube Combined First Round,CO 5,
2x2x2 Cube Combined First Round,CO 4,
5x5x5 Cube Combined First Round,UT 2,
,,
Alex Vogel,,
Event/Round,Stage/Group,
Skewb Combined First Round,CA 1,
3x3x3 Cube Combined First Round,NV 2,
2x2x2 Cube Combined First Round,AZ 1,
,,
Alex Yang,,
Event/Round,Stage/Group,
4x4x4 Cube Combined First Round,NV 2,
Megaminx Combined First Round,UT 3,
6x6x6 Cube Combined Final Round,UT 1,
Skewb Combined First Round,AZ 3,
Pyraminx Combined First Round,CO 2,
3x3x3 Cube Combined First Round,AZ 4,
3x3x3 One-Handed Combined First Round,AZ 2,
Square-1 Combined First Round,AZ 1,
2x2x2 Cube Combined First Round,NV 3,
